2012-01-01,2012-01-01,New Year's Day
2012-02-18,2012-02-22,Carnival
2012-04-06,2012-04-06,Good Friday
2012-04-08,2012-04-08,Easter Day
2012-04-21,2012-04-21,Tiradentes Day
2012-05-01,2012-05-01,Labor Day / May Day
2012-06-07,2012-06-07,Corpus Christi
2012-09-07,2012-09-07,Independence Day
2012-10-12,2012-10-12,Our Lady Aparecida
2012-11-02,2012-11-02,All Souls Day
2012-11-15,2012-11-15,Republic Proclamation Day
2012-12-24,2012-12-24,Christmas Eve
2012-12-25,2012-12-25,Christmas Day
2012-12-31,2012-12-31,New Year's Eve (from 14 hours)
2013-01-01,2013-01-01,New Year's Day
2013-02-09,2013-02-13,Carnival
2013-03-29,2013-03-29,Good Friday
2013-03-31,2013-03-31,Easter Day
2013-04-21,2013-04-21,Tiradentes Day
2013-05-01,2013-05-01,Labor Day / May Day
2013-05-30,2013-05-30,Corpus Christi
2013-09-07,2013-09-07,Independence Day
2013-10-12,2013-10-12,Our Lady Aparecida
2013-11-02,2013-11-02,All Souls Day
2013-11-15,2013-11-15,Republic Proclamation Day
2013-12-24,2013-12-24,Christmas Eve
2013-12-25,2013-12-25,Christmas Day
2013-12-31,2013-12-31,New Year's Eve (from 14 hours)
2014-01-01,2014-01-01,New Year's Day
2014-03-01,2014-03-05,Carnival
2014-04-18,2014-04-18,Good Friday
2014-04-20,2014-04-20,Easter Day
2014-04-21,2014-04-21,Tiradentes Day
2014-05-01,2014-05-01,Labor Day / May Day
2014-06-19,2014-06-19,Corpus Christi
2014-09-07,2014-09-07,Independence Day
2014-10-12,2014-10-12,Our Lady Aparecida
2014-11-02,2014-11-02,All Souls Day
2014-11-15,2014-11-15,Republic Proclamation Day
2014-12-24,2014-12-24,Christmas Eve
2014-12-25,2014-12-25,Christmas Day
2014-12-31,2014-12-31,New Year's Eve (from 14 hours)
2015-01-01,2015-01-01,New Year's Day
2015-02-14,2015-02-18,Carnival
2015-04-03,2015-04-03,Good Friday
2015-04-05,2015-04-05,Easter Day
2015-04-21,2015-04-21,Tiradentes Day
2015-05-01,2015-05-01,Labor Day / May Day
2015-06-04,2015-06-04,Corpus Christi
2015-09-07,2015-09-07,Independence Day
2015-10-12,2015-10-12,Our Lady Aparecida
2015-11-02,2015-11-02,All Souls Day
2015-11-15,2015-11-15,Republic Proclamation Day
2015-12-24,2015-12-24,Christmas Eve
2015-12-25,2015-12-25,Christmas Day
2015-12-31,2015-12-31,New Year's Eve (from 14 hours)
2016-01-01,2016-01-01,New Year's Day
2016-02-06,2016-02-10,Carnival
2016-03-25,2016-03-25,Good Friday
2016-03-27,2016-03-27,Easter Day
2016-04-21,2016-04-21,Tiradentes Day
2016-05-01,2016-05-01,Labor Day / May Day
2016-05-26,2016-05-26,Corpus Christi
2016-09-07,2016-09-07,Independence Day
2016-10-12,2016-10-12,Our Lady Aparecida
2016-11-02,2016-11-02,All Souls Day
2016-11-15,2016-11-15,Republic Proclamation Day
2016-12-24,2016-12-24,Christmas Eve
2016-12-25,2016-12-25,Christmas Day
2016-12-26,2016-12-26,Christmas Day observed
2016-12-31,2016-12-31,New Year's Eve (from 14 hours)
2017-01-01,2017-01-01,New Year's Day
2017-02-25,2017-03-01,Carnival
2017-04-14,2017-04-14,Good Friday
2017-04-16,2017-04-16,Easter Day
2017-04-21,2017-04-21,Tiradentes Day
2017-05-01,2017-05-01,Labor Day / May Day
2017-06-15,2017-06-15,Corpus Christi
2017-09-07,2017-09-07,Independence Day
2017-10-12,2017-10-12,Our Lady Aparecida
2017-11-02,2017-11-02,All Souls Day
2017-11-15,2017-11-15,Republic Proclamation Day
2017-12-24,2017-12-24,Christmas Eve
2017-12-25,2017-12-25,Christmas Day
2017-12-31,2017-12-31,New Year's Eve (from 14 hours)
2018-01-01,2018-01-01,New Year's Day
2018-02-10,2018-02-14,Carnival
2018-03-30,2018-03-30,Good Friday
2018-04-01,2018-04-01,Easter Day
2018-04-21,2018-04-21,Tiradentes Day
2018-05-01,2018-05-01,Labor Day / May Day
2018-05-31,2018-05-31,Corpus Christi
2018-09-07,2018-09-07,Independence Day
2018-10-12,2018-10-12,Our Lady Aparecida
2018-11-02,2018-11-02,All Souls Day
2018-11-15,2018-11-15,Republic Proclamation Day
2018-12-24,2018-12-24,Christmas Eve
2018-12-25,2018-12-25,Christmas Day
2018-12-31,2018-12-31,New Year's Eve (from 14 hours)
2019-01-01,2019-01-01,New Year's Day
2019-03-02,2019-03-06,Carnival
2019-04-19,2019-04-19,Good Friday
2019-04-21,2019-04-21,Tiradentes Day
2019-04-21,2019-04-21,Easter Day
2019-05-01,2019-05-01,Labor Day / May Day
2019-06-20,2019-06-20,Corpus Christi
2019-09-07,2019-09-07,Independence Day
2019-10-12,2019-10-12,Our Lady Aparecida
2019-11-02,2019-11-02,All Souls Day
2019-11-15,2019-11-15,Republic Proclamation Day
2019-12-24,2019-12-24,Christmas Eve
2019-12-25,2019-12-25,Christmas Day
2019-12-31,2019-12-31,New Year's Eve (from 14 hours)
2020-01-01,2020-01-01,New Year's Day
2020-02-22,2020-02-26,Carnival
2020-04-10,2020-04-10,Good Friday
2020-04-12,2020-04-12,Easter Day
2020-04-21,2020-04-21,Tiradentes Day
2020-05-01,2020-05-01,Labor Day / May Day
2020-06-11,2020-06-11,Corpus Christi
2020-09-07,2020-09-07,Independence Day
2020-10-12,2020-10-12,Our Lady Aparecida
2020-11-02,2020-11-02,All Souls Day
2020-11-15,2020-11-15,Republic Proclamation Day
2020-12-24,2020-12-24,Christmas Eve
2020-12-25,2020-12-25,Christmas Day
2020-12-31,2020-12-31,New Year's Eve (from 14 hours)