2012-01-02,2012-01-02,New Year's Day observed
2012-01-16,2012-01-16,Martin Luther King Day
2012-02-20,2012-02-20,Presidents' Day (Washington's Birthday)
2012-05-28,2012-05-28,Memorial Day
2012-07-04,2012-07-04,Independence Day
2012-09-03,2012-09-03,Labor Day
2012-10-08,2012-10-08,Columbus Day
2012-11-12,2012-11-12,Veterans Day observed
2012-11-22,2012-11-22,Thanksgiving Day
2012-12-25,2012-12-25,Christmas Day
2013-01-01,2013-01-01,New Year's Day
2013-01-21,2013-01-21,Martin Luther King Day
2013-02-18,2013-02-18,Presidents' Day (Washington's Birthday)
2013-05-27,2013-05-27,Memorial Day
2013-07-04,2013-07-04,Independence Day
2013-09-02,2013-09-02,Labor Day
2013-10-14,2013-10-14,Columbus Day
2013-11-11,2013-11-11,Veterans Day
2013-11-28,2013-11-28,Thanksgiving Day
2013-12-25,2013-12-25,Christmas Day
2014-01-01,2014-01-01,New Year's Day
2014-01-20,2014-01-20,Martin Luther King Day
2014-02-17,2014-02-17,Presidents' Day (Washington's Birthday)
2014-05-26,2014-05-26,Memorial Day
2014-07-04,2014-07-04,Independence Day
2014-09-01,2014-09-01,Labor Day
2014-10-13,2014-10-13,Columbus Day
2014-11-11,2014-11-11,Veterans Day
2014-11-27,2014-11-27,Thanksgiving Day
2014-12-25,2014-12-25,Christmas Day
2015-01-01,2015-01-01,New Year's Day
2015-01-19,2015-01-19,Martin Luther King Day
2015-02-16,2015-02-16,Presidents' Day (Washington's Birthday)
2015-05-25,2015-05-25,Memorial Day
2015-07-03,2015-07-03,Independence Day observed
2015-09-07,2015-09-07,Labor Day
2015-10-12,2015-10-12,Columbus Day
2015-11-11,2015-11-11,Veterans Day
2015-11-26,2015-11-26,Thanksgiving Day
2015-12-25,2015-12-25,Christmas Day
2016-01-01,2016-01-01,New Year's Day
2016-01-18,2016-01-18,Martin Luther King Day
2016-02-15,2016-02-15,Presidents' Day (Washington's Birthday)
2016-05-30,2016-05-30,Memorial Day
2016-07-04,2016-07-04,Independence Day
2016-09-05,2016-09-05,Labor Day
2016-10-10,2016-10-10,Columbus Day
2016-11-11,2016-11-11,Veterans Day
2016-11-24,2016-11-24,Thanksgiving Day
2016-12-26,2016-12-26,Christmas Day observed
2017-01-02,2017-01-02,New Year's Day observed
2017-01-16,2017-01-16,Martin Luther King Day
2017-02-20,2017-02-20,Presidents' Day (Washington's Birthday)
2017-05-29,2017-05-29,Memorial Day
2017-07-04,2017-07-04,Independence Day
2017-09-04,2017-09-04,Labor Day
2017-10-09,2017-10-09,Columbus Day
2017-11-10,2017-11-10,Veterans Day observed
2017-11-23,2017-11-23,Thanksgiving Day
2017-12-25,2017-12-25,Christmas Day
2018-01-01,2018-01-01,New Year's Day
2018-01-15,2018-01-15,Martin Luther King Day
2018-02-19,2018-02-19,Presidents' Day (Washington's Birthday)
2018-05-28,2018-05-28,Memorial Day
2018-07-04,2018-07-04,Independence Day
2018-09-03,2018-09-03,Labor Day
2018-10-08,2018-10-08,Columbus Day
2018-11-12,2018-11-12,Veterans Day observed
2018-11-22,2018-11-22,Thanksgiving Day
2018-12-25,2018-12-25,Christmas Day
2019-01-01,2019-01-01,New Year's Day
2019-01-21,2019-01-21,Martin Luther King Day
2019-02-18,2019-02-18,Presidents' Day (Washington's Birthday)
2019-05-27,2019-05-27,Memorial Day
2019-07-04,2019-07-04,Independence Day
2019-09-02,2019-09-02,Labor Day
2019-10-14,2019-10-14,Columbus Day
2019-11-11,2019-11-11,Veterans Day
2019-11-28,2019-11-28,Thanksgiving Day
2019-12-25,2019-12-25,Christmas Day
2020-01-01,2020-01-01,New Year's Day
2020-01-20,2020-01-20,Martin Luther King Day
2020-02-17,2020-02-17,Presidents' Day (Washington's Birthday)
2020-05-25,2020-05-25,Memorial Day
2020-07-03,2020-07-03,Independence Day observed
2020-09-07,2020-09-07,Labor Day
2020-10-12,2020-10-12,Columbus Day
2020-11-11,2020-11-11,Veterans Day
2020-11-26,2020-11-26,Thanksgiving Day
2020-12-25,2020-12-25,Christmas Day